,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,The Landbanking Group,,New Markets and Sales Associate,,,Germany,,,,,,,,,Germany,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,No Concentration,EMPA,Public,Foreign Government,The Permanent Mission of the Kingdom of Saudi Arabia to the UN,,Second Secretary,"New York,",NY,United States,,,,,,,,NY,United States,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,09/05/2023,Job,No Concentration,MPA-MDP,Nonprofit,Foundations/Institutions,The Rockefeller Foundation,"60% with the Strategic Learning and Impact Team, 40% with the Africa Food Team",Consultant- Strategic Learning and Impact/ Africa Food Team,"New York,",NY,United States,Consultant- Strategic Learning and Impact/ Africa Food Team,,"o	$70,000-$74,999","o	$70,000-$74,999",,,,NY,United States,Non-profit,Foundations/Institutions,Post Graduation,Internships other than Career Services,,,,"The Rockefeller Foundation is a knowledge-based global foundation with a commitment to enrich and sustain the lives and livelihoods of poor and excluded people throughout the world. It emphasizes the importance of generating new, and harnessing existing knowledge to addressing the complex and difficult challenges faced by poor people. Its various aresa of work are based on science, technology, research and analysis.",Yes,Yes,,United States (USA),06/01/2023,,,,Female,,Yes,,,,Yes,,No,No,School Facilitated,,,,,,,per year,,,,,,,11/30/2023,,09/05/2023,06/12/2023,06/12/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10018,New York,Yes,,,No,No,Yes,,No,,,,Yes,No
No,Yes,Still Seeking Employment,,06/13/2023,Job,No Concentration,MPA-ESP,Nonprofit,University/Education,Columbia University,,Program Liaison,"New York,",NY,United States,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Job,International Security Policy,MIA,Nonprofit,Public Interest/Advocacy,Tikvot,,Speaker and Special Projects Manager/Financial Manager,,,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,The Rohatyn Group,,Sustainable Investing Fellow,"New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Foundations/Institutions,The Ronald Reagan Presidential Foundation & Institute,,Associate Director of Policy,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Foundations/Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,02/03/2024,Job,INTERNATIONAL SECURITY POLICY,MIA,Private,Consulting,The Soufan Group (TSG),,Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,06/28/2023,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,Public Interest/Advocacy,Climatebase,,Climatebase Fellow,"San Francisco,",California,United States,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	I have not started actively applying.,,,per year,,,,,,,,,06/28/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,09/29/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Research/Think Tank,The Stimson Cente,,Research Associate,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,09/29/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,DUAL MIA/MS: SIPA and Journalism,MIA,Nonprofit,Public Interest/Advocacy,The Washington Monthly,,Editorial Intern,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,Urban and Social Policy,MPA,Public,U.S. Government,The White House,,Advance Associate,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Pursuing Further Education,,,Pursuing Further Education,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,,Pursuing Further Education,Pursuing Further Education,,Pursuing Further Education,Pursuing Further Education,Pursuing Further Education,Pursuing Further Education,,,,,,,,Pursuing Further Education,Pursuing Further Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,,,02/12/2024,Job,International Finance and Economic Policy,MIA,Public,U.S. Government,The White House,,Digital Analyst,"Washington, DC",,United States,,,"o	$50,000-$54,999","o	$50,000-$54,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,No Concentration,MPA-EPM,Public,Multilateral Organizations,The World Bank,,ST Economic Consultant,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Unknown,,02/23/2024,Still Seeking Employment,No Concentration,MPA-EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,Urban and Social Policy,MPA,Public,Multilateral Organizations,The World Bank,,Consultant,"Jakarta, ",,Indonesia,,,,,,,,,Indonesia,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,International Finance and Economic Policy,MPA,Public,Multilateral Organizations,The World Bank,,Robert S. McNamara FellowRobert S. McNamara Fellow,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Multilateral Organization,06/15/2023,Job,International Finance and Economic Policy,MPA,Public,Multilateral Organizations,The World Bank,,Analysist,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Multilateral Organization,Multilateral Organizations,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/15/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,International Finance and Economic Policy,MIA,Public,Multilateral Organizations,The World Bank,,"Consultant - Women, Business, and the Law","Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,Economic and Political Development,MIA,Public,Multilateral Organizations,The World Bank,,Research Assistant,"Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Pursuing Further Education,,06/24/2023,Pursuing Further Education,INTERNATIONAL SECURITY POLICY,MPA,,Pursuing Further Education,Pursuing Further Education,,Pursuing Further Education,Pursuing Further Education,Pursuing Further Education,Pursuing Further Education,,,,,,,,Pursuing Further Education,Pursuing Further Education,,,Post Graduation,,,,,,Yes,,,,,,,,Male,,Yes,,Command and General Staff College,,,,,,,,,,,,,per year,,,,,,,,,06/24/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,International Finance and Economic Policy,MIA,Public,Multilateral Organizations,The World Bank,,Youth Summit Delegate,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MIA,Private,Other – Business Services,Third Man Ltd,,Special Projects Manager,"Kigoma Region, ",,Tanzania,,,,,,,,,Tanzania,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Human Rights & Humanitarian Policy ,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,TIIP - The Investment Integration Project,,Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/29/2023,Still Seeking Employment,Human Rights & Humanitarian Policy ,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/29/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Other – Business Services,Tradewater,,Environmental Program Associate,"Chicago,",IL,United States,,,,,,,,IL,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,,,06/26/2023,Job,No Concentration,MPA-MDP,Private,Consulting,"TRC Companies, Inc.",,ESG & Climate Advisory Analyst,"Windsor,",CT,United States,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Fall 2022,,,per year,,,,,,,,,06/26/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Consulting,"TRC Companies, Inc.",,Decarbonization and Energy Efficiency Technical Associate,"Windsor,",CT,United States,,,,,,,,CT,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,02/20/2024,Job,No Concentration,MPA-ESP,Private,Consulting,"TRC Companies, Inc.",,Project Manager,"New York,",NY,United States,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/05/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,ENERGY AND ENVIRONMENT,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,U.S. Government,U.S. Army,,"Research Fellow, Foreign Military Studies Office","New York,",NY,United States,,,,,,,,NY,United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,No Concentration,MPA-MDP,Public,U.S. Government,U.S. Army,,Civil Affairs Planner,,,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,U.S. Government,U.S. Department of State,,"Political Section, U.S. Embassy Buenos Aires","Buenos Aires, ",,Argentina,,,,,,,,,Argentina,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MPA,Public,U.S. Government,U.S. Department of State,,Diplomat/Foreign Services Officer,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Fellowship,Government,08/26/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,U.S. Government,U.S. Department of State,U.S. Department of State - U.S. Foreign Service,Foreign Service Officer,"Arlington, ",VA,United States,Foreign Service Officer,,o	Confidential,o	Confidential,,,,VA,United States,Public,U.S. Government,Post Graduation,Other,,,,,Yes,Yes,,United States (USA),07/01/2023,,,,Female,,Yes,,,,Yes,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,08/26/2023,09/10/2023,09/10/2023,Arlington - VA,United States (USA),On Site,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,Virginia,No,,,Yes,No,No,,It is part/result of a fellowship program,,,,No,No
No,Yes,Still Seeking Employment,,06/14/2023,Job,No Concentration,EMPA,Private,Other – Business Services,Johnson & Johnson,,"Sr. Financial Analyst, Procurement",,New Jersey,United States,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/14/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MPA,Public,U.S. Government,U.S. Department of State,,Graduate Consultant,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Security Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Government,06/14/2023,Job,Urban and Social Policy,MIA,Public,U.S. Government,U.S. Department of State,N/A yet,Foreign Service Officer,"Washington, DC",,United States,Foreign Service Officer,,"o	$75,000-$79,999","o	$75,000-$79,999",,,,"Washington, DC",United States,Public,U.S. Government,Post Graduation,Other,,,,,Yes,Yes,,,01/17/2023,,,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,06/14/2023,09/11/2023,09/11/2023,,,On Site,,,,No,,,Yes,No,No,,No,,5 year commitment,,No,No
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MPA,Public,U.S. Government,U.S. Department of State,,Foreign Service Officer,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Public,U.S. Government,U.S. Department of State,,Staff Assistant,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,No Concentration,EMPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,Economic and Political Development,MIA,Public,U.S. Government,U.S. Department of State,,"U.S. Diplomat, Foreign Service Officer","Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Government,06/30/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,U.S. Government,U.S. Department of State,Foreign Service,Foreign Service Officer,"Washington, DC",,United States,Foreign Service Officer,,"o	$70,000-$74,999","o	$70,000-$74,999",,,,"Washington, DC",United States,Public,U.S. Government,Post Graduation,Other,,,,,Yes,Yes,,United States (USA),12/04/2021,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,06/30/2023,07/03/2023,07/03/2023,Washington - DC,United States (USA),On Site,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,20520,District of Columbia,No,,,Yes,No,No,,No,,,,No,No
No,Yes,30 Hours per week,Government,06/13/2023,Job,International Finance and Economic Policy,MIA,Public,U.S. Government,U.S. Department of State,The Foreign Service generalist class.,Foreign Service Officer,"Washington, DC",,United States,Foreign Service Officer,,"o	$75,000-$79,999","o	$75,000-$79,999",,,,"Washington, DC",United States,Public,U.S. Government,Post Graduation,Other,,,,,Yes,Yes,,United States (USA),05/24/2023,,,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,"$78,800. I get free housing too.",,,,06/13/2023,07/03/2023,07/03/2023,Washington - DC,United States (USA),On Site,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,District of Columbia,No,,,Yes,No,No,,No,,,,No,No
No,No,,,,Job,Economic and Political Development,MPA,Public,U.S. Government,U.S. Department of State,,Foreign Affairs Officer,"Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,07/04/2023,Still Seeking Employment,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/04/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,Urban and Social Policy,MPA,Public,U.S. Government,U.S. Department of Transportation,,Program Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Government,07/18/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,U.S. Government,U.S. Department of Treasury,,Policy Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,Post Graduation,,I have received one or more offers of employment and I am currently deciding,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Fall 2022,,,per year,,,,,,,,,07/18/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MPA,Public,U.S. Government,U.S. House of Representatives,,Communications Director,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,Urban and Social Policy,MPA,Public,U.S. Government,U.S. House of Representatives,,Legislative Assistant/Correspondent,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,International Security Policy,MPA,Public,U.S. Government,U.S. Navy,,Naval Officer,"Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,,,06/30/2023,Job,ENERGY AND ENVIRONMENT,MPA,Public,U.S. Government,U.S. Senate,,Legislative Assistant,"Washington, DC",,United States,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,06/30/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,International Finance and Economic Policy,MIA,Public,Foreign Government,UAE Embassy,,Head of Economic Policy and Affairs,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Multilateral Organization,09/10/2023,Job,No Concentration,MPA-MDP,Public,Multilateral Organizations,UN Population Fund,,Programme Quality Assurance Intern,"New York,",NY,United States,,,,,,,,NY,United States,Multilateral Organization,Multilateral Organizations,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,09/10/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,INTERNATIONAL SECURITY POLICY,MPA   ,Public,Multilateral Organizations,UNDP,,Graduate Consultant,,,Jordan,,,,,,,,,Jordan,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,No Concentration,MPA-MDP,Public,Multilateral Organizations,UNDP,,Partnerships Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
